Date,SPY,XLP,XLK,XLY,XLI,XLB,XLF,XLU,XLE,XLV,XLRE
2/1/2010,109.059998,26.4,21.200001,29.280001,27.790001,31.34,11.714053,29.719999,56.299999,31.459999,30.209999
2/2/2010,110.379997,26.780001,21.41,29.690001,28.32,31.440001,11.827783,29.959999,57.040001,32.110001,30.16
2/3/2010,109.830002,26.59,21.459999,29.709999,28.15,31.08,11.697806,29.75,56.549999,31.68,30.35
2/4/2010,106.440002,26.049999,20.860001,28.85,27.32,29.92,11.194151,28.969999,54.23,30.879999,30.16
2/5/2010,106.660004,25.98,21.07,28.77,27.200001,30.48,11.324127,28.92,54.240002,30.83,30.16
2/8/2010,105.889999,25.950001,20.98,28.59,26.9,29.99,11.096669,28.59,53.740002,30.68,30.07
2/9/2010,107.220001,26.26,21.16,29.030001,27.42,30.719999,11.210398,28.879999,54.869999,30.92,30.642
2/10/2010,107.010002,26.23,21.1,28.91,27.379999,30.51,11.299756,28.75,54.639999,30.73,31
2/11/2010,108.129997,26.440001,21.32,29.25,27.790001,31.030001,11.324127,28.92,55.57,30.940001,31.030001
2/12/2010,108.040001,26.440001,21.360001,29.25,27.57,30.969999,11.332251,28.809999,55.59,30.870001,31.055
2/16/2010,109.739998,26.709999,21.68,29.719999,28.219999,31.75,11.567831,29.309999,56.900002,31.139999,31.448
2/17/2010,110.260002,26.9,21.74,29.959999,28.459999,31.77,11.608448,29.190001,56.82,31.379999,31.07
2/18/2010,110.910004,27.059999,21.879999,30.15,28.719999,32.110001,11.68156,29.35,57.139999,31.530001,31.110001
2/19/2010,111.139999,27.120001,21.82,30.219999,28.860001,32.290001,11.746548,29.76,57.360001,31.530001,31.118
2/22/2010,111.160004,27.120001,21.780001,30.209999,28.879999,32.150002,11.900893,29.6,56.57,31.440001,31.004999
2/23/2010,109.809998,26.969999,21.51,30.030001,28.51,31.639999,11.68156,29.4,55.630001,31.139999,31.146
2/24/2010,110.82,27.139999,21.719999,30.42,28.799999,31.559999,11.884646,29.43,55.98,31.370001,30.950001
2/25/2010,110.669998,27.16,21.66,30.469999,28.73,31.49,11.852153,29.370001,56.009998,31.389999,30.950001
2/26/2010,110.739998,27.030001,21.690001,30.52,28.84,31.5,11.925264,29.139999,56.139999,31.4,31.35
3/1/2010,111.889999,27.219999,21.969999,31,29.219999,31.98,11.957758,29.559999,56.66,31.700001,31.219999
3/2/2010,112.199997,27.32,21.940001,30.84,29.27,32.25,11.998375,29.65,57.130001,31.809999,31.1
3/3/2010,112.300003,27.33,21.950001,30.93,29.309999,32.529999,12.006498,29.6,57.380001,31.68,29.950001
3/4/2010,112.639999,27.42,22.040001,31.209999,29.450001,32.75,12.128351,29.66,57.080002,31.58,29.709999
3/5/2010,114.25,27.59,22.309999,31.790001,29.9,33.169998,12.363932,29.959999,58.150002,32.02,30.030001
3/8/2010,114.269997,27.49,22.43,31.870001,29.76,33.169998,12.388302,29.959999,58.060001,31.83,30.134001
3/9/2010,114.459999,27.450001,22.530001,31.82,30,32.959999,12.42892,29.92,58.060001,31.809999,29.950001
3/10/2010,114.970001,27.41,22.68,31.889999,30.059999,32.970001,12.567019,29.93,58.57,31.83,29.559999
3/11/2010,115.449997,27.459999,22.77,32.119999,30.17,33.16,12.672624,30.030001,58.470001,32.080002,29.530001
3/12/2010,115.459999,27.48,22.75,32.209999,30.370001,33.290001,12.623883,29.84,58.5,31.84,29.99
3/15/2010,115.489998,27.690001,22.73,32.169998,30.370001,33.279999,12.623883,29.950001,57.900002,32.049999,30.344999
3/16/2010,116.410004,27.82,22.9,32.41,30.780001,33.77,12.778229,30.299999,58.419998,32.139999,30.51
3/17/2010,117.099998,27.940001,22.969999,32.57,30.83,33.959999,12.932575,30.4,59.060001,32.150002,30.76
3/18/2010,117.040001,27.969999,23,32.560001,31.040001,33.720001,12.859464,30.26,58.18,32.369999,30.92
3/19/2010,115.970001,27.77,22.790001,32.400002,30.809999,33.279999,12.745735,29.959999,57.279999,32.25,30.450001
3/22/2010,116.589996,27.91,22.959999,32.740002,30.9,33.77,12.810723,29.76,57.130001,32.459999,30.450001
3/23/2010,117.410004,28.129999,23.18,32.869999,31.25,34.209999,12.916328,29.879999,57.349998,32.619999,30.68
3/24/2010,116.839996,27.93,23.07,32.740002,31.030001,34.110001,12.924452,29.57,57.02,32.27,30.75
3/25/2010,116.650002,27.889999,23.110001,32.93,31.01,33.43,12.981316,29.379999,56.060001,32.139999,31.259001
3/26/2010,116.580002,27.91,23,33.060001,31.09,33.68,12.997563,29.450001,56.080002,31.9,30.620001
3/29/2010,117.32,28.040001,23.07,33.110001,31.370001,34.040001,13.01381,29.809999,57.169998,32.240002,30.01
3/30/2010,117.400002,28.09,23.17,33.080002,31.42,34.09,12.932575,29.73,57.259998,32.240002,30.620001
3/31/2010,117,27.93,23.1,32.84,31.24,33.919998,12.956945,29.66,57.52,32.130001,30.620001
4/1/2010,117.800003,28.110001,23.059999,33.07,31.440001,34.509998,13.062551,30.07,58.540001,32.310001,30.719999
4/5/2010,118.760002,28.110001,23.33,33.470001,31.67,34.93,13.192527,30.25,59.580002,32.220001,30.549999
4/6/2010,119.040001,28.02,23.35,33.52,31.68,34.990002,13.330626,30.5,59.580002,32.200001,30.299999
4/7/2010,118.360001,27.84,23.26,33.400002,31.5,34.77,13.281884,30.200001,58.990002,32.060001,30.138
4/8/2010,118.769997,27.889999,23.299999,33.720001,31.6,34.849998,13.38749,30.02,59.200001,31.940001,30.231001
4/9/2010,119.550003,28.040001,23.48,33.970001,31.780001,34.91,13.436231,30.24,59.830002,32.080002,30.58
4/12/2010,119.739998,28.129999,23.530001,33.970001,31.85,34.799999,13.493095,30.32,59.970001,31.99,31.129999
4/13/2010,119.830002,28.040001,23.6,34.150002,31.9,34.669998,13.501219,30.16,59.759998,32.02,31.09
4/14/2010,121.190002,28.08,23.940001,34.68,32.310001,34.93,13.850528,30.190001,60.330002,31.91,30.35
4/15/2010,121.290001,28.030001,24.049999,34.830002,32.619999,34.93,13.793664,30.18,60.32,31.82,30.4
4/16/2010,119.360001,27.91,23.73,34.369999,32.09,34.330002,13.290009,29.83,59.299999,31.629999,30.68
4/19/2010,119.809998,28.02,23.780001,34.43,32.029999,34.34,13.419984,29.860001,59.380001,31.889999,30.98
4/20/2010,120.879997,28.1,23.91,34.849998,32.400002,34.450001,13.598701,30.24,60.540001,31.959999,31.01
4/21/2010,120.660004,28.1,23.959999,35.009998,32.619999,34.360001,13.517466,30.27,60.48,31.4,30.927
4/22/2010,121.019997,28.1,24.02,35.639999,32.919998,34.700001,13.590577,30.370001,60.630001,31.040001,31.440001
4/23/2010,121.809998,28.030001,24.08,35.669998,33.119999,35.009998,13.631194,30.610001,62.09,31.35,31.440001
4/26/2010,121.349998,27.969999,24.049999,35.950001,33.189999,35.16,13.419984,30.5,61.880001,31.02,31.184
4/27/2010,118.480003,27.48,23.58,34.91,32.389999,33.880001,12.965069,29.98,59.98,30.66,30.459999
4/28/2010,119.379997,27.700001,23.65,34.790001,32.619999,34.290001,13.151909,30.290001,60.59,30.860001,31.382999
4/29/2010,120.860001,27.790001,23.889999,35.560001,33.360001,34.599998,13.452477,30.32,60.66,31.280001,31.08
4/30/2010,118.809998,27.629999,23.389999,34.82,32.57,33.990002,13.127539,30.440001,59.91,30.879999,30.51
5/3/2010,120.349998,27.790001,23.709999,35.52,33.220001,33.970001,13.379366,30.83,60.59,31.030001,30.110001
5/4/2010,117.519997,27.51,23.030001,34.48,32.169998,32.790001,13.01381,30.299999,58.970001,30.85,30.290001
5/5/2010,116.82,27.610001,22.93,33.990002,31.76,32.549999,12.940699,30.09,58.040001,30.950001,29.959999
5/6/2010,112.940002,26.92,22.24,32.779999,30.709999,31.48,12.396425,29.26,56.060001,30.120001,29.65
5/7/2010,111.260002,26.74,21.75,32.18,30.030001,31.129999,12.258327,29.1,54.990002,29.719999,29.75
5/10/2010,116.160004,27.52,22.75,33.860001,31.75,32.610001,12.940699,30,57.34,30.52,29.25
5/11/2010,115.830002,27.51,22.6,33.849998,31.66,32.200001,12.891957,30.059999,56.959999,30.459999,29.450001
