"","SPY","XLP","XLK","XLY","XLI","XLB","XLF","XLU","XLE","XLV"
"1",-3.50953250953251,-3.51044751044751,-3.50921450921451,-3.50824250824251,-3.50858150858151,-3.50933750933751,-3.50817650817651,-3.51130851130851,-3.51011151011151,-3.51135951135951
"2",-3.50976050976051,-3.51077151077151,-3.50932250932251,-3.50843750843751,-3.50877350877351,-3.50940050940051,-3.50845250845251,-3.51147951147951,-3.51038151038151,-3.51183651183651
"3",-3.50997050997051,-3.51071751071751,-3.50962550962551,-3.50870750870751,-3.50897150897151,-3.50950850950851,-3.50892350892351,-3.51156951156951,-3.51054051054051,-3.51169251169251
"4",-3.50930750930751,-3.51024651024651,-3.50905250905251,-3.50812250812251,-3.50844950844951,-3.50880050880051,-3.50792750792751,-3.51104451104451,-3.50974550974551,-3.51104151104151
"5",-3.50916950916951,-3.51013551013551,-3.50914550914551,-3.50782550782551,-3.50813150813151,-3.50911850911851,-3.50789450789451,-3.51074751074751,-3.50934950934951,-3.51096351096351
"6",-3.50906450906451,-3.51011451011451,-3.50901950901951,-3.50760950760951,-3.50778050778051,-3.50885750885751,-3.50762450762451,-3.51050751050751,-3.50919050919051,-3.51120951120951
"7",-3.50925650925651,-3.51035451035451,-3.50914250914251,-3.50755850755851,-3.50798750798751,-3.50915450915451,-3.50772350772351,-3.51064251064251,-3.50956850956851,-3.51159351159351
"8",-3.50908850908851,-3.51038151038151,-3.50903450903451,-3.50745950745951,-3.50783750783751,-3.50884250884251,-3.50782250782251,-3.51039651039651,-3.50899250899251,-3.51126951126951
"9",-3.50937350937351,-3.51058551058551,-3.50926850926851,-3.50753750753751,-3.50809850809851,-3.50910350910351,-3.50816450816451,-3.51058851058851,-3.50940350940351,-3.51161451161451
"10",-3.50981150981151,-3.51092751092751,-3.50968550968551,-3.50808650808651,-3.50840450840451,-3.50975150975151,-3.50881850881851,-3.51084351084351,-3.50999750999751,-3.51179751179751
"11",-3.50997950997951,-3.51097251097251,-3.50992850992851,-3.50847950847951,-3.50874350874351,-3.51002451002451,-3.50895050895051,-3.51099051099051,-3.51027351027351,-3.51184251184251
"12",-3.50982350982351,-3.51105051105051,-3.50977850977851,-3.50819150819151,-3.50844950844951,-3.50985350985351,-3.50855450855451,-3.51088551088551,-3.51022251022251,-3.51172251172251
"13",-3.51027051027051,-3.51128451128451,-3.51031251031251,-3.50871650871651,-3.50908850908851,-3.51041151041151,-3.50914250914251,-3.51091551091551,-3.51057651057651,-3.51207051207051
"14",-3.51004851004851,-3.51121251121251,-3.50998250998251,-3.50835350835351,-3.50877950877951,-3.51053451053451,-3.50886350886351,-3.51093951093951,-3.51042651042651,-3.51197151197151
"15",-3.51050751050751,-3.51141051141051,-3.51049551049551,-3.50890550890551,-3.50939150939151,-3.51111051111051,-3.50965250965251,-3.51117051117051,-3.51066951066951,-3.51202851202851
"16",-3.51038751038751,-3.51122751122751,-3.51033651033651,-3.50906450906451,-3.50939150939151,-3.51094551094551,-3.50940350940351,-3.51117651117651,-3.51065451065451,-3.51177651177651
"17",-3.51120651120651,-3.51183651183651,-3.51111051111051,-3.50999750999751,-3.51022251022251,-3.51152151152151,-3.51054651054651,-3.51172551172551,-3.51143151143151,-3.51244251244251
"18",-3.51147051147051,-3.51198351198351,-3.51148251148251,-3.51038751038751,-3.51060051060051,-3.51169851169851,-3.51071451071451,-3.51179451179451,-3.51181551181551,-3.51271851271851
"19",-3.51055251055251,-3.51128451128451,-3.51054051054051,-3.50931650931651,-3.50946050946051,-3.51069951069951,-3.50965250965251,-3.51099951099951,-3.51096351096351,-3.51216651216651
"20",-3.51081951081951,-3.51143451143451,-3.51093351093351,-3.50964050964051,-3.50978450978451,-3.51125751125751,-3.50979050979051,-3.51125151125151,-3.51128151128151,-3.51240051240051
"21",-3.51059151059151,-3.51136851136851,-3.51036951036951,-3.50924450924451,-3.50936750936751,-3.51099951099951,-3.50961950961951,-3.51114351114351,-3.51116751116751,-3.51230451230451
"22",-3.51085551085551,-3.51149751149751,-3.51066351066351,-3.50973650973651,-3.50969450969451,-3.51146751146751,-3.50998550998551,-3.51119451119451,-3.51138051138051,-3.51243351243351
"23",-3.51126951126951,-3.51174951174951,-3.51112251112251,-3.51024351024351,-3.51019851019851,-3.51207951207951,-3.51069051069051,-3.51139851139851,-3.51166551166551,-3.51263751263751
"24",-3.51154851154851,-3.51165951165951,-3.51127251127251,-3.51046851046851,-3.51055551055551,-3.51233751233751,-3.51107451107451,-3.51158451158451,-3.51225351225351,-3.51292251292251
"25",-3.51182151182151,-3.51170151170151,-3.51167451167451,-3.51088251088251,-3.51071151071151,-3.51267351267351,-3.51166551166551,-3.51177651177651,-3.51237651237651,-3.51296151296151
"26",-3.51196551196551,-3.51172551172551,-3.51191751191751,-3.51097251097251,-3.51112551112551,-3.51254751254751,-3.51170451170451,-3.51194751194751,-3.51260151260151,-3.51299751299751
"27",-3.51277551277551,-3.51226551226551,-3.51266451266451,-3.51175251175251,-3.51198351198351,-3.51341451341451,-3.51279951279951,-3.51253251253251,-3.51362751362751,-3.51361551361551
"28",-3.51256251256251,-3.51222651222651,-3.51258951258951,-3.51153651153651,-3.51177051177051,-3.51301851301851,-3.51223551223551,-3.51250551250551,-3.51323451323451,-3.51372651372651
"29",-3.51281751281751,-3.51238251238251,-3.51266751266751,-3.51173151173151,-3.51219651219651,-3.51343551343551,-3.51270951270951,-3.51256851256851,-3.51369051369051,-3.51362751362751
"30",-3.51280251280251,-3.51276951276951,-3.51270351270351,-3.51150051150051,-3.51221151221151,-3.51308451308451,-3.51252351252351,-3.51274851274851,-3.51343851343851,-3.51384351384351
"31",-3.51308151308151,-3.51299451299451,-3.51305151305151,-3.51171351171351,-3.51244251244251,-3.51354651354651,-3.51291351291351,-3.51299451299451,-3.51366351366351,-3.51402651402651
"32",-3.51250551250551,-3.51266151266151,-3.51240051240051,-3.51106251106251,-3.51177351177351,-3.51282351282351,-3.51219951219951,-3.51266751266751,-3.51298851298851,-3.51361251361251
"33",-3.51273951273951,-3.51278151278151,-3.51258951258951,-3.51135351135351,-3.51217251217251,-3.51302751302751,-3.51251451251451,-3.51255351255351,-3.51306351306351,-3.51384651384651
"34",-3.51288951288951,-3.51268251268251,-3.51260151260151,-3.51155451155451,-3.51246051246051,-3.51339351339351,-3.51275451275451,-3.51280851280851,-3.51365751365751,-3.51399351399351
"35",-3.51246051246051,-3.51243351243351,-3.51228951228951,-3.51124851124851,-3.51198051198051,-3.51304551304551,-3.51220251220251,-3.51224451224451,-3.51268251268251,-3.51367551367551
