,SPY
1,1.5100389227484357
2,1.513815809631751
3,1.511091909545712
4,1.5192959186913413
5,1.5252376152113811
6,1.5231126103878978
7,1.5205412280772634
8,1.5598845316037568
9,1.5597500030469291
10,1.5550676940904395
11,1.5544387135616944
12,1.5570149596339888
13,1.5607195885638703
14,1.5621385736028515
15,1.5667789061228632
16,1.5521643764338933
17,1.5525925562394605
18,1.5633585559714902
19,1.5712083482787875
20,1.5711586900272323
21,1.5692210748136404
22,1.5699282278421833
23,1.5773848083188113
24,1.5842142540770965
25,1.5844893772725754
26,1.5913618359275006
27,1.5981096371695003
28,1.5970235347197104
29,1.5979066470833914
30,1.6014009128446105
31,1.6023081844093667
32,1.6103925475147207
33,1.6115286933506923
34,1.6092670929799624
35,1.6146673537480183
36,1.6188942652490823
37,1.6108050208902114
38,1.6083824687041215
39,1.61818662052724
40,1.6241299847467872
41,1.627459524823962
42,1.6343608758222672
43,1.635732942819459
44,1.6451571150912514
45,1.6425267873057692
46,1.6472357449345054
47,1.6494826884434133
48,1.6651931321609936
49,1.6612856498443307
50,1.656386142366273
51,1.6686621042038041
52,1.6651182541374965
53,1.6541767146657094
54,1.6534820804815809
55,1.652989038105943
56,1.6521726582743668
57,1.65169222437612
58,1.6556298762168353
59,1.656430969532039
60,1.6466200925435714
61,1.652320454815026
62,1.6614595022463163
63,1.658905523353269
64,1.6616825530979895
65,1.6615189201809244
66,1.6545909516901247
67,1.6811129286440973
68,1.6757464598833849
69,1.6026030243904188
70,1.6062084685916034
71,1.6108289377746132
72,1.6023114496999824
73,1.5936176357638487
74,1.5906860590769156
75,1.5801825718574491
76,1.573446874573392
77,1.634132976840874
78,1.6433270725235616
79,1.633267659727835
80,1.6302334448539568
81,1.6334667650028223
82,1.5915803480004342
83,1.5800084317527308
84,1.5679226603822372
85,1.5448408473173458
86,1.5473054617848447
87,1.6407881967018056
88,1.6320764011345545
89,1.638649888367354
90,1.632375760401601
91,1.584987564912126
92,1.5855511326037686
93,1.5901277504042355
94,1.569681385427657
95,1.571479733521528
96,1.5816652477462867
97,1.5736314367757132
98,1.5747372497469314
99,1.5765593673279454
100,1.574455139635802
101,1.5755327704312094
102,1.578934190400787
103,1.574196008122044
104,1.6665833250033302
105,1.6601371926265074
106,1.6577974548420116
107,1.6453827431030277
108,1.6586640428783994
109,1.598196532501106
110,1.6098727257633527
111,1.6273233884078309
112,1.6227715140541932
113,1.6230207051705747
114,1.624072597707027
115,1.6237565480594185
116,1.6943395521718685
117,1.6964588414214177
118,1.6995646047291757
119,1.6984580179507702
120,1.6842038695710926
121,1.6993040172621932
122,1.7024138218050666
123,1.7072949189025621
124,1.6973679234990868
125,1.6833182770722033
126,1.6787061474394704
127,1.6570066499537006
128,1.6499440051336478
129,1.656032851475402
130,1.653298147731448
131,1.6498764406844657
132,1.6568151107128415
133,1.6407294454972998
134,1.804104606154624
135,1.7913161826606938
136,1.79050345167866
137,1.7922968664345262
138,1.8135739314459443
