Date,Open,High,Low,Close,Adj Close,Volume
2010-02-01,11.592201,11.746548,11.592201,11.714053,7.884956,155187700
2010-02-02,11.722178,11.860276,11.673436,11.827783,7.961511,135155300
2010-02-03,11.762794,11.844029,11.665313,11.697806,7.874022,131388600
2010-02-04,11.592201,11.608448,11.186028,11.194151,7.534999,266891000
2010-02-05,11.259139,11.356621,10.974817,11.324127,7.622490,315216000
2010-02-08,11.348497,11.348497,11.080422,11.096669,7.469384,132199100
2010-02-09,11.234769,11.291633,11.047929,11.210398,7.545938,190172300
2010-02-10,11.226645,11.421609,11.153534,11.299756,7.606086,155220700
2010-02-11,11.299756,11.380991,11.031682,11.324127,7.622490,92212200
2010-02-12,11.194151,11.332251,11.121039,11.332251,7.627957,125390700
2010-02-16,11.413485,11.584078,11.340374,11.567831,7.786530,134800900
2010-02-17,11.657189,11.657189,11.551584,11.608448,7.813872,81067700
2010-02-18,11.559708,11.714053,11.551584,11.681560,7.863084,73617300
2010-02-19,11.608448,11.787165,11.600325,11.746548,7.906830,72633500
2010-02-22,11.787165,11.965881,11.770918,11.900893,8.010722,86110600
2010-02-23,11.844029,11.933388,11.640943,11.681560,7.863084,144519000
2010-02-24,11.689683,11.900893,11.689683,11.884646,7.999787,87297400
2010-02-25,11.722178,11.868400,11.649066,11.852153,7.977915,130407500
2010-02-26,11.852153,11.965881,11.787165,11.925264,8.027126,129857800
2010-03-01,11.965881,11.990252,11.884646,11.957758,8.048999,65465300
2010-03-02,11.990252,12.112104,11.982128,11.998375,8.076341,71151500
2010-03-03,12.014623,12.095857,11.974005,12.006498,8.081808,69710900
2010-03-04,12.038993,12.136475,12.022746,12.128351,8.163829,65092600
2010-03-05,12.193338,12.388302,12.177092,12.363932,8.322404,99635600
2010-03-08,12.388302,12.437043,12.363932,12.388302,8.338808,66161900
2010-03-09,12.323315,12.510155,12.282697,12.428920,8.366148,110608000
2010-03-10,12.510155,12.640130,12.485784,12.567019,8.459105,123834000
2010-03-11,12.534525,12.680747,12.518278,12.672624,8.530190,75285900
2010-03-12,12.778229,12.778229,12.567019,12.623883,8.497380,125183400
2010-03-15,12.550772,12.648253,12.485784,12.623883,8.497380,86475900
2010-03-16,12.664500,12.786352,12.632007,12.778229,8.601277,92828300
2010-03-17,12.851340,12.973192,12.835093,12.932575,8.705168,113668800
2010-03-18,12.908205,12.924452,12.778229,12.859464,8.655955,91978800
2010-03-19,12.745735,12.891957,12.696995,12.745735,8.598954,110142600
2010-03-22,12.615760,12.818847,12.607636,12.810723,8.642800,78909100
2010-03-23,12.843217,12.924452,12.770105,12.916328,8.714046,79992200
2010-03-24,12.835093,12.989439,12.835093,12.924452,8.719523,86346200
2010-03-25,13.013810,13.257514,12.965069,12.981316,8.757890,150906800
2010-03-26,13.038180,13.160032,12.924452,12.997563,8.768852,218970500
2010-03-29,13.070674,13.111292,12.932575,13.013810,8.779811,76076900
2010-03-30,13.021934,13.062551,12.900082,12.932575,8.725007,59183000
2010-03-31,12.851340,13.005687,12.843217,12.956945,8.741449,72467900
2010-04-01,13.062551,13.103168,12.973192,13.062551,8.812696,59488300
2010-04-05,13.135662,13.208774,13.103168,13.192527,8.900382,55300500
2010-04-06,13.184402,13.363119,13.160032,13.330626,8.993553,63364100
2010-04-07,13.363119,13.411860,13.200650,13.281884,8.960670,91544200
2010-04-08,13.233144,13.428107,13.176279,13.387490,9.031919,86447500
2010-04-09,13.436231,13.468724,13.354996,13.436231,9.064800,64967600
2010-04-12,13.476848,13.549959,13.460601,13.493095,9.103164,56718300
2010-04-13,13.476848,13.574329,13.411860,13.501219,9.108644,85280400
2010-04-14,13.671811,13.858651,13.655564,13.850528,9.344309,155369900
2010-04-15,13.883022,13.907393,13.753046,13.793664,9.305944,101626600
2010-04-16,13.736799,13.753046,13.054427,13.290009,8.966150,468533300
2010-04-19,13.135662,13.444354,13.119415,13.419984,9.053840,319699500
2010-04-20,13.525589,13.598701,13.444354,13.598701,9.174409,151176800
2010-04-21,13.606824,13.728676,13.363119,13.517466,9.119605,210131900
2010-04-22,13.371243,13.631194,13.314379,13.590577,9.168930,123733500
2010-04-23,13.614947,13.688059,13.541836,13.631194,9.196330,109054900
2010-04-26,13.623071,13.623071,13.387490,13.419984,9.053840,128910400
2010-04-27,13.273761,13.419984,12.932575,12.965069,8.746929,289883100
2010-04-28,13.143785,13.241267,13.030057,13.151909,8.872983,194917000
