Category: All categories

Month,bitcoin: (Worldwide),ethereum: (Worldwide),litecoin: (Worldwide)
2004-02,0,0,0
2004-03,0,0,0
2004-04,0,0,0
2004-05,0,0,0
2004-06,0,0,0
2004-07,0,0,0
2004-08,0,0,0
2004-09,0,0,0
2004-10,0,0,0
2004-11,0,0,0
2004-12,0,0,0
2005-01,0,0,0
2005-02,0,0,0
2005-03,0,0,0
2005-04,0,0,0
2005-05,0,0,0
2005-06,0,0,0
2005-07,0,0,0
2005-08,0,0,0
2005-09,0,0,0
2005-10,0,0,0
2005-11,0,0,0
2005-12,0,0,0
2006-01,0,0,0
2006-02,0,0,0
2006-03,0,<1,0
2006-04,0,0,0
2006-05,0,0,0
2006-06,0,0,0
2006-07,0,0,0
2006-08,0,0,0
2006-09,0,0,0
2006-10,0,0,0
2006-11,0,0,0
2006-12,0,0,0
2007-01,0,<1,0
2007-02,0,<1,0
2007-03,0,<1,0
2007-04,0,<1,0
2007-05,0,<1,0
2007-06,0,<1,0
2007-07,0,<1,0
2007-08,0,<1,0
2007-09,0,<1,0
2007-10,0,<1,0
2007-11,0,<1,0
2007-12,0,<1,0
2008-01,0,<1,0
2008-02,0,<1,0
2008-03,0,<1,0
2008-04,0,<1,0
2008-05,0,<1,0
2008-06,0,<1,0
2008-07,0,<1,0
2008-08,0,<1,0
2008-09,0,<1,0
2008-10,0,<1,0
2008-11,0,<1,0
2008-12,0,<1,0
2009-01,0,<1,0
2009-02,<1,<1,0
2009-03,0,<1,0
2009-04,0,<1,0
2009-05,0,<1,0
2009-06,0,<1,0
2009-07,<1,<1,0
2009-08,0,<1,0
2009-09,0,<1,0
2009-10,<1,<1,0
2009-11,<1,<1,0
2009-12,0,<1,0
2010-01,0,<1,0
2010-02,<1,<1,0
2010-03,<1,<1,0
2010-04,<1,<1,0
2010-05,<1,<1,0
2010-06,<1,<1,0
2010-07,<1,<1,0
2010-08,<1,<1,0
2010-09,<1,<1,0
2010-10,<1,<1,0
2010-11,<1,<1,0
2010-12,<1,<1,0
2011-01,<1,<1,0
2011-02,<1,<1,0
2011-03,<1,<1,0
2011-04,<1,<1,0
2011-05,1,<1,0
2011-06,3,<1,0
2011-07,1,<1,0
2011-08,1,<1,0
2011-09,1,<1,0
2011-10,1,<1,<1
2011-11,<1,<1,<1
2011-12,<1,<1,<1
2012-01,<1,<1,<1
2012-02,<1,<1,<1
2012-03,<1,<1,<1
2012-04,<1,<1,<1
2012-05,<1,<1,<1
2012-06,<1,<1,<1
2012-07,<1,<1,<1
2012-08,1,<1,<1
2012-09,1,<1,<1
2012-10,<1,<1,<1
2012-11,1,<1,<1
2012-12,1,<1,<1
2013-01,1,<1,<1
2013-02,1,<1,<1
2013-03,3,<1,<1
2013-04,8,<1,1
2013-05,3,<1,<1
2013-06,2,<1,<1
2013-07,2,<1,<1
2013-08,2,<1,<1
2013-09,2,<1,<1
2013-10,3,<1,<1
2013-11,10,<1,1
2013-12,12,<1,2
2014-01,8,<1,1
2014-02,9,<1,1
2014-03,6,<1,1
2014-04,4,<1,<1
2014-05,3,<1,<1
2014-06,3,<1,<1
2014-07,3,<1,<1
2014-08,3,<1,<1
2014-09,3,<1,<1
2014-10,3,<1,<1
2014-11,3,<1,<1
2014-12,3,<1,<1
2015-01,3,<1,<1
2015-02,3,<1,<1
2015-03,3,<1,<1
2015-04,2,<1,<1
2015-05,2,<1,<1
2015-06,2,<1,<1
2015-07,3,<1,<1
2015-08,3,<1,<1
2015-09,2,<1,<1
2015-10,3,<1,<1
2015-11,3,<1,<1
2015-12,3,<1,<1
2016-01,3,<1,<1
2016-02,3,<1,<1
2016-03,3,<1,<1
2016-04,3,<1,<1
2016-05,4,<1,<1
2016-06,5,1,<1
2016-07,4,1,<1
2016-08,3,<1,<1
2016-09,3,<1,<1
2016-10,3,<1,<1
2016-11,4,<1,<1
2016-12,5,<1,<1
2017-01,6,<1,<1
2017-02,6,<1,<1
2017-03,7,1,<1
2017-04,6,1,<1
2017-05,15,3,1
2017-06,14,7,1
2017-07,13,4,1
2017-08,21,4,1
2017-09,21,3,1
2017-10,23,3,1
2017-11,45,5,2
2017-12,100,9,10
2018-01,56,9,3
2018-02,50,5,3
